Name,Theatre,Time,Date,Address
& Juliet,Stephen Sondheim Theatre,"2 hours and 30 minutes, including intermission","Opened November 17, 2022",": 124 W 43rd St, New York, NY 10036"
Aladdin,New Amsterdam Theatre,,"Running time: 2 hours and 30 minutes, including intermission",": 214 W 42nd St, New York, NY 10036"
Back to the Future,Winter Garden Theatre,"2 hours and 40 minutes, including intermission","Opened August 3, 2023",": 1634 Broadway (at W. 50th St.), New York, NY 10019"
The Book of Mormon,Eugene O'Neill Theatre,"2 hours and 30 minutes, including intermission","Opened March 24, 2011",": 230 W 49th St, New York, NY 10019"
Cabaret,August Wilson Theatre,"2 hours and 45 minutes, including intermission","Opened April 21, 2024",": 245 W 52nd St, New York, NY 10019"
Chicago,Ambassador Theatre,"2 hours and 30 minutes minutes, including intermission","Opened November 14, 1996",": 219 W 49th St, New York, NY 10019"
Cult of Love,Helen Hayes Theater,TBA,"Opening December 12, 2024",": 240 W. 44th St, New York, NY 10036"
Death Becomes Her,Lunt-Fontanne Theatre,"2 hours and 30 minutes, including intermission","Opened November 21, 2024",": 205 W 46th St, New York, NY 10036"
Elf,Marquis Theatre,"2 hours and 30 minutes, including intermission","Opened November 17, 2024",": 1535 Broadway (between 45th and 46th Streets), New York, NY 10036"
Eureka Day,Samuel J. Friedman Theatre,TBA,"Opening December 16, 2024",": 261 W 47th St, New York, NY 10036"
The Great Gatsby,Broadway Theatre,"2 hours and 30 minutes, including intermission","Opened April 25, 2024",": 1681 Broadway (at W. 53rd St.), New York, NY 10019"
Gypsy,Majestic Theatre,TBA,"Opening December 19, 2024",": 245 W 44th St, New York, NY 10036"
Hadestown,Richard Rodgers Theatre,"2 hours and 25 minutes, including intermission","Opened April 17, 2019",": 226 W 46th St, New York, NY 10036"
Harry Potter and the Cursed Child ,Lyric Theatre,"2 hours and 50 minutes, including intermission","Opened December 7, 2021",": 213 W 42nd St, New York, NY 10036"
Hell's Kitchen,Shubert Theatre,"2 hours and 30 minutes, including intermission","Opened April 20, 2024",": 225 W 44th St, New York, NY 10036"
The Hills of California,Broadhurst Theatre,"2 hours and 45 minutes, including intermission","Opened September 29, 2024",": 235 W 44th St, New York, NY 10036"
Left on Tenth,James Earl Jones Theatre,"1 hour and 40 minutes, no intermission","Opened October 23, 2024",": 138 W 48th St, New York, NY 10036"
The Lion King,Minskoff Theatre,"2 hours and 30 minutes, including intermission","Opened November 13, 1997",": 200 W 45th St, New York, NY 10036"
Maybe Happy Ending,Neil Simon Theatre,"1 hour and 40 minutes, no intermission","Opened November 12, 2024",": 250 W 52nd St, New York, NY 10019"
Moulin Rouge!,Al Hirschfeld Theatre,"2 hours and 45 minutes, including intermission","Opened July 25, 2019",": 302 W 45th St, New York, NY 10036"
The Notebook,Gerald Schoenfeld Theatre,"2 hours and 20 minutes, including intermission","Opened March 14, 2024",": 236 W 45th St, New York, NY 10036"
"Oh, Mary!",Lyceum Theatre,"1 hour and 20 minutes, no intermission","Opened July 11, 2024",": 149 W 45th St, New York, NY 10036"
Our Town,Ethel Barrymore Theatre,"1 hour and 50 minutes, no intermission","Opened October 10, 2024",": 243 W 47th St, New York, NY 10036"
The Outsiders,Bernard B. Jacobs Theatre,"2 hours and 25 minutes, including intermission","Opened April 11, 2024",": 242 W 45th St, New York, NY 10036"
Romeo + Juliet,Circle in the Square,"2 hours and 25 minutes, including intermission","Opened October 24, 2024",": 235 W 50th St, New York, NY 10019"
The Roommate,Booth Theatre,"1 hour and 30 minutes, no intermission","Opened September 12, 2024",": 222 W 45th St, New York, NY 10036"
Six,Lena Horne Theatre,"1 hour and 20 minutes minutes, no intermission","Opened October 3, 2021",": 256 W 47th St, New York, NY 10036"
Stereophonic,John Golden Theatre,"3 hours and 5 minutes, including intermission","Opened April 19, 2024",": 252 W 45th St, New York, NY 10036"
Suffs,Music Box Theatre,"2 hours and 30 minutes, including intermission","Opened April 18, 2024",": 239 W 45th St, New York, NY 10036"
Sunset Boulevard,St. James Theatre,"2 hours and 35 minutes, including intermission","Opened October 20, 2024",": 246 W 44th St, New York, NY 10036"
Swept Away,Longacre Theatre,"1 hour and 30 minutes, no intermission","Opened November 19, 2024",": 220 W 48th St, New York, NY 10036"
Tammy Faye,Palace Theatre,"2 hours and 30 minutes, including intermission","Opened November 14, 2024",": 160 W 47th St, New York, NY 10036"
Water for Elephants,Imperial Theatre,"2 hours and 30 minutes, including intermission","Opened March 21, 2024",": 249 W 45th St, New York, NY 10036"
Wicked,Gershwin Theatre,"2 hours and 30 minutes, including intermission","Opened October 30, 2003",": 222 W 51st St, New York, NY 10019"
A Wonderful World: The Louis Armstrong Musical,Studio 54,"2 hours and 30 minutes, including intermission","Opened November 11, 2024",": 254 W. 54th St, New York, NY 10019"
